"ID","chrom","loc.start","loc.end","num.mark","seg.mean"
"Sample.1","chr2",15000,1485000,147,-0.0608
"Sample.1","chr2",1495000,1535000,5,-0.2757
"Sample.1","chr2",1545000,1925000,39,-0.1039
"Sample.1","chr2",1935000,2075000,15,1.8119
"Sample.1","chr2",2085000,2925000,85,-0.0652
"Sample.1","chr2",2935000,4155000,118,0.0112
"Sample.1","chr2",4165000,6435000,215,-0.0808
"Sample.1","chr2",6445000,9565000,313,0.0318
"Sample.1","chr2",9575000,10105000,54,0.0979
"Sample.1","chr2",10115000,12455000,234,0.0413
"Sample.1","chr2",12465000,13015000,56,-0.006
"Sample.1","chr2",13025000,14915000,190,-0.0711
"Sample.1","chr2",14925000,15905000,99,0.0173
"Sample.1","chr2",15915000,16155000,25,1.8683
"Sample.1","chr2",16165000,17585000,138,-0.0216
"Sample.1","chr2",17595000,18315000,73,0.0738
"Sample.1","chr2",18325000,19805000,146,-0.0167
"Sample.1","chr2",19815000,21315000,149,0.0708
"Sample.1","chr2",21325000,23155000,184,-0.0725
"Sample.1","chr2",23165000,23545000,39,0.0575
"Sample.1","chr2",23555000,23725000,18,1.8892
"Sample.1","chr2",23735000,29465000,574,0.0707
"Sample.1","chr2",29475000,34225000,476,0.0358
"Sample.1","chr2",34235000,35955000,173,-0.0894
"Sample.1","chr2",35965000,36005000,5,-0.386
"Sample.1","chr2",36015000,36645000,64,-0.0441
"Sample.1","chr2",36655000,40085000,343,0.0723
"Sample.1","chr2",40095000,41925000,184,-0.0351
"Sample.1","chr2",41935000,48225000,630,0.0666
"Sample.1","chr2",48235000,48565000,34,1.9352
"Sample.1","chr2",48575000,49355000,79,0.0261
"Sample.1","chr2",49365000,51225000,187,-0.0784
"Sample.1","chr2",51235000,52645000,142,-0.124
"Sample.1","chr2",52655000,53555000,91,-0.0863
"Sample.1","chr2",53565000,54585000,103,0.0451
"Sample.1","chr2",54595000,55805000,122,0.0957
"Sample.1","chr2",55815000,56275000,47,0.0216
"Sample.1","chr2",56285000,56315000,4,2.0028
"Sample.1","chr2",56325000,57735000,142,-0.0784
"Sample.1","chr2",57745000,58725000,99,0.044
"Sample.1","chr2",58735000,60115000,139,-0.0426
"Sample.1","chr2",60125000,60965000,85,0.068
"Sample.1","chr2",60975000,61195000,23,0.1644
"Sample.1","chr2",61205000,61785000,59,0.067
"Sample.1","chr2",61795000,61865000,8,-0.0671
"Sample.1","chr2",61875000,62755000,89,0.1067
"Sample.1","chr2",62765000,63625000,86,0.0256
"Sample.1","chr2",63635000,64075000,45,0.0649
"Sample.1","chr2",64085000,65745000,167,0.1133
"Sample.1","chr2",65755000,66135000,39,0.0427
"Sample.1","chr2",66145000,67995000,186,-0.0548
"Sample.1","chr2",68005000,71585000,356,0.0837
"Sample.1","chr2",71595000,71915000,33,0.003
"Sample.1","chr2",71925000,72625000,71,-0.0806
"Sample.1","chr2",72635000,73325000,70,0.0044
"Sample.1","chr2",73335000,73755000,43,0.0421
"Sample.1","chr2",73765000,75125000,134,0.1139
"Sample.1","chr2",75135000,76075000,95,0.0127
